Designator,Mid X,Mid Y,Rotation,Layer
C101,60.706,-55.118,270,bottom
C102,60.706,-58.42,270,bottom
C103,60.706,-61.722,270,bottom
C104,104.14,-45.212,0,top
C105,104.14,-50.038,0,top
C106,104.14,-36.83,0,top
C107,104.14,-41.148,0,top
C108,113.157,-24.765,90,top
C109,117.221,-23.622,180,top
C110,50.038,-56.134,90,top
C111,48.514,-67.945,270,top
C112,53.086,-53.438,180,top
C115,65.2835,-88.966,90,top
C116,68.6415,-45.72,180,top
C117,68.6415,-40.64,180,top
C118,68.6415,-50.8,180,top
C119,68.58,-83.82,180,top
C120,68.6415,-78.74,180,top
C121,68.6415,-68.58,180,top
C201,101.346,-92.964,270,bottom
C202,107.061,-92.202,90,bottom
C203,110.744,-79.489,90,bottom
C204,110.744,-85.967,270,bottom
D101,50.8,-23.368,180,top
D102,37.198,-23.114,180,top
D103,37.198,-27.94,180,top
D104,50.8,-25.908,180,top
D105,37.198,-25.4,180,top
D106,49.5035,-36.703,0,top
R101,63.691,-56.867,0,top
R102,63.691,-55.089,0,top
R103,63.691,-58.674,0,top
R104,63.691,-60.452,0,top
R105,63.691,-63.979,0,top
R106,63.691,-62.201,0,top
R107,47.2065,-23.368,180,top
R108,33.5535,-23.114,180,top
R109,33.5535,-27.94,180,top
R110,47.181,-25.908,180,top
R111,77.271,-88.519,270,top
R112,112.776,-30.734,180,top
R113,112.776978,-32.512,0,top
R114,115.57,-31.496,90,top
R115,118.491,-32.512,0,top
R116,118.491,-30.734,180,top
R117,33.6165,-25.4,180,top
R118,61.721,-43.053,90,top
R119,53.3135,-36.703,0,top
R120,52.705,-94.742,180,bottom
R121,52.705,-89.662,180,bottom
R201,110.744,-82.613,270,bottom
R202,110.744,-89.091,90,bottom
U101,55.622,-58.518,0,top
U105,68.326,-89.027,0,top
U201,98.552,-93.472,90,bottom
U202,104.3432,-93.472,270,bottom
U203,104.14,-84.836,0,bottom